DCOL-1 - Condenser_Specification_Value,Distillate - Molar Fraction (Mixture) / Benzene ()
1.5,0.987629
1.52525,0.988779
1.55051,0.989804
1.57576,0.990715
1.60101,0.991525
1.62626,0.992246
1.65152,0.992889
1.67677,0.993463
1.70202,0.993976
1.72727,0.994436
1.75253,0.994849
1.77778,0.99522
1.80303,0.995556
1.82828,0.995859
1.85354,0.996134
1.87879,0.996384
1.90404,0.996611
1.92929,0.996819
1.95455,0.997009
1.9798,0.997183
2.00505,0.997343
2.0303,0.997491
2.05556,0.997626
2.08081,0.997752
2.10606,0.997868
2.13131,0.997976
2.15657,0.998075
2.18182,0.998168
2.20707,0.998255
2.23232,0.998336
2.25758,0.998411
2.28283,0.998482
2.30808,0.998548
2.33333,0.998609
2.35859,0.998668
2.38384,0.998722
2.40909,0.998773
2.43434,0.998822
2.4596,0.998868
2.48485,0.998911
2.5101,0.998951
2.53535,0.99899
2.56061,0.999026
2.58586,0.999061
2.61111,0.999093
2.63636,0.999125
2.66162,0.999154
2.68687,0.999182
2.71212,0.999209
2.73737,0.999234
2.76263,0.999258
2.78788,0.999282
2.81313,0.999304
2.83838,0.999325
2.86364,0.999345
2.88889,0.999364
2.91414,0.999382
2.93939,0.9994
2.96465,0.999417
2.9899,0.999433
3.01515,0.999448
3.0404,0.999463
3.06566,0.999477
3.09091,0.999491
3.11616,0.999504
3.14141,0.999517
3.16667,0.999529
3.19192,0.999541
3.21717,0.999552
3.24242,0.999563
3.26768,0.999573
3.29293,0.999583
3.31818,0.999593
3.34343,0.999602
3.36869,0.999611
3.39394,0.99962
3.41919,0.999628
3.44444,0.999637
3.4697,0.999644
3.49495,0.999652
3.5202,0.999659
3.54545,0.999666
3.57071,0.999673
3.59596,0.99968
3.62121,0.999687
3.64646,0.999693
3.67172,0.999699
3.69697,0.999705
3.72222,0.99971
3.74747,0.999716
3.77273,0.999721
3.79798,0.999727
3.82323,0.999732
3.84848,0.999737
3.87374,0.999741
3.89899,0.999746
3.92424,0.99975
3.94949,0.999755
3.97475,0.999759
4,0.999763
